type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,pc_timestamp
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,543135646,0,28,0,0,543.277062,128,69.8570 1.0000 24.5153 25.4951 21.3776 25.4951 23.5372 22.3607 22.3607 19.4165 21.2132 21.0000 20.0000 19.0263 21.0000 19.0000 21.0000 19.0000 21.0238 20.0998 17.2627 18.2483 16.2788 15.2971 16.2788 15.1327 14.5602 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 19.1050 20.3961 19.6469 20.8806 20.2485 23.7697 23.2594 23.2594 21.9545 21.4709 24.1661 21.9317 24.1661 21.5407 23.2594 21.5407 22.8473 21.5407 25.6320 24.6982 24.3516 23.4094 23.0868 27.4591 24.3311 27.6586,2025-06-08 17:14:08.993
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-70,11,1,7,0,1,1,1,0,0,0,-96,1,6,0,543179799,0,101,0,0,543.321276,256,111.8258 5.0000 25.9422 27.2947 24.5967 25.5539 23.7065 25.0599 24.6982 23.3238 21.0238 21.9545 22.8035 20.8087 22.0227 21.4009 21.4009 20.8087 21.6333 20.5913 20.2485 19.7231 18.8680 18.7883 18.7883 17.0880 16.7631 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 17.4929 18.3576 20.1246 20.1246 19.6977 22.4722 21.1896 21.8403 21.8403 21.8403 22.8035 21.8403 23.4094 22.8035 23.4094 22.4722 24.3516 23.4094 23.7697 25.0599 25.0799 25.4951 25.0599 25.4951 26.4008 27.7308,2025-06-08 17:14:09.030
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-66,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,543248379,0,28,0,0,543.389881,128,69.8570 1.0000 24.6982 25.2982 23.0868 24.3516 23.0868 22.1359 20.8806 18.3848 18.3848 20.5913 20.1246 18.3576 19.2354 19.2354 19.7231 17.4929 17.8885 17.4642 15.2315 15.2315 13.4164 13.9284 13.9284 13.0000 13.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 22.3607 23.4094 22.4722 23.0868 22.5610 25.3180 25.1794 24.0832 23.0217 23.0868 25.1794 22.2036 25.1794 22.3607 23.0868 22.3607 23.3452 21.3776 25.3180 25.4951 24.5153 23.5372 24.5153 27.2029 25.2982 29.1204,2025-06-08 17:14:09.091
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-70,11,1,6,0,1,1,1,0,0,0,-96,1,6,0,543283033,0,101,0,0,543.424393,256,111.8258 5.0000 24.0416 25.2982 23.4094 25.0000 23.0868 24.0416 21.8403 20.3961 18.0278 19.4165 18.2483 18.1108 19.1050 18.2483 19.1050 19.1050 18.0278 17.1172 17.2627 17.4642 14.3178 16.7631 15.5242 14.8661 13.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 17.7200 20.2237 22.4722 22.8035 21.5870 18.3848 23.2594 23.3238 21.5407 22.3607 23.7697 22.8254 23.7065 23.2594 21.9545 23.2594 24.5967 22.8473 24.6982 25.0799 24.6982 25.2982 24.6982 25.6320 27.3130 26.2488,2025-06-08 17:14:09.127
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,543338417,0,28,0,0,543.479817,128,69.8570 1.0000 22.6716 23.3452 19.8494 23.3452 21.9317 20.5183 19.8494 17.8045 17.2047 19.7231 18.8680 17.0000 18.8680 17.4929 19.7231 17.0000 18.8680 18.0278 15.0000 15.0000 14.2127 14.2127 15.0000 12.8062 13.4536 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 17.4929 19.2094 17.8045 19.1050 18.3848 22.6716 21.4009 20.8087 19.7231 18.8680 22.0227 19.2094 22.2036 20.6155 22.2036 19.2094 22.0227 18.6011 24.0832 23.4307 22.0227 22.6716 21.2603 26.1725 22.8035 25.4951,2025-06-08 17:14:09.181
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-70,11,1,7,0,1,1,1,0,0,0,-96,1,6,0,543382251,0,101,0,0,543.523648,256,111.8258 5.0000 28.0000 27.0740 27.0185 30.1496 25.0000 24.0208 25.0200 23.0000 22.0227 24.0208 23.0868 23.1948 23.1948 22.0907 25.0799 21.2132 23.0217 22.0907 21.0950 21.0238 20.0998 18.0278 18.1108 18.1108 18.2483 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 22.0000 23.3452 21.2132 23.1948 22.3607 24.7386 24.0416 23.5372 23.0868 24.0416 23.0868 23.0868 24.3516 23.7697 24.7386 23.7697 24.7386 23.7697 24.3311 27.0740 25.1794 26.0768 26.1725 27.1662 28.0179 28.0713,2025-06-08 17:14:09.229
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,543443564,0,28,0,0,543.585008,128,69.8570 1.0000 21.4009 21.4009 18.6011 21.6333 20.2485 19.4165 18.6011 16.4012 18.6011 18.3848 18.3848 16.9706 17.6918 16.9706 18.3848 16.2788 17.6918 17.0294 15.0000 15.2643 13.0384 13.0384 14.4222 13.0384 12.5300 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 16.2788 17.6918 16.2788 18.4391 17.2047 19.7231 19.2354 20.1246 18.7883 17.8885 21.4709 18.3576 20.1246 18.3576 20.1246 18.8680 20.5913 18.3576 21.0950 21.4709 21.0950 20.5913 19.7231 24.4131 20.6155 25.2389,2025-06-08 17:14:09.292
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-68,11,1,6,0,1,1,1,0,0,0,-96,1,6,0,543486099,0,101,0,0,543.627496,256,111.8258 5.0000 22.8035 24.2074 23.4307 21.4009 22.2036 21.4009 20.2485 20.2485 19.2354 19.7231 20.5913 17.8885 17.8885 19.2354 18.3576 18.3576 16.1245 18.0278 16.6433 16.6433 15.0000 15.0000 15.0000 14.2127 12.8062 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 18.3576 17.4929 18.6011 18.6011 19.8494 19.7990 19.1050 21.2132 22.0227 19.8494 21.2603 21.2603 20.5183 20.5183 21.2132 21.9317 20.5183 21.2132 21.2603 22.0227 22.6716 23.4307 23.4307 24.4131 23.6008 23.4307,2025-06-08 17:14:09.332
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-64,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,543542311,0,28,0,0,543.683709,128,69.8570 1.0000 24.7588 24.7588 21.2132 24.7588 22.6274 21.2132 21.2132 18.3848 19.1050 19.4165 18.6011 17.4929 18.8680 18.0278 19.7231 18.0278 18.0278 17.8045 15.5563 16.2788 14.1421 13.4536 15.6205 13.4536 12.8062 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 18.4391 19.1050 18.3848 19.7990 20.6155 22.2036 21.6333 23.3238 21.9545 20.5913 23.0217 20.8087 23.8537 22.2036 21.6333 21.4009 22.2036 20.8087 24.2074 25.0000 24.2074 23.4307 23.6008 26.9072 24.7588 27.5862,2025-06-08 17:14:09.390
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-67,11,1,6,0,1,1,1,0,0,0,-96,1,6,0,543583348,0,101,0,0,543.724747,256,111.8258 5.0000 28.3196 29.0000 26.1725 27.5862 25.4951 26.2488 24.2074 23.3452 24.0416 24.8395 24.2074 24.4131 23.6008 22.8035 23.4307 22.0227 22.0227 22.0227 21.2132 20.5183 19.7990 18.3848 19.2094 17.8045 16.6433 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 20.2485 20.6155 19.8494 21.2603 21.9317 21.9317 22.0227 22.6716 22.8035 23.4307 24.2074 22.8035 24.2074 24.2074 24.2074 23.4307 25.6125 24.0832 25.4951 26.1725 26.1725 28.2843 27.5862 28.2843 29.7321 29.7321,2025-06-08 17:14:09.430
